YEAR BUILT,TOTAL WATER USE (kgal),PROPERTY TYPE,POSTAL CODE,OUTDOOR WATER USE (kgal),NUMBER OF BUILDINGS,INDOOR WATER USE (kgal),GROSS BUILDING FLOOR AREA (ft²)
2011.0,1007.9,Multifamily Housing,90024,Not Available,1.0,Not Available,23476.0
1989.0,2165.6,Multifamily Housing,90024,Not Available,1.0,Not Available,66460.0
1909.0,31.4,Non-Refrigerated Warehouse,90012,Not Available,1.0,Not Available,48000.0
2004.0,3479.3,Multifamily Housing,90293,Not Available,1.0,Not Available,93243.0
1975.0,4714.2,Office,90015,Not Available,1.0,Not Available,188022.0
1985.0,2443.1,Multifamily Housing,91352,Not Available,1.0,Not Available,21568.0
1963.0,2729.6,Multifamily Housing,90020,Not Available,1.0,Not Available,33810.0
1986.0,1441.5,Multifamily Housing,91325,Not Available,1.0,Not Available,26798.0
1978.0,1107.1,Office,91367,Not Available,1.0,Not Available,54099.0
,,,91356,,,,
,,,90045,,,,
,,,90731,,,,
1923.0,31921.6,Hotel,90013,Not Available,1.0,Not Available,995327.0
2011.0,691.5,Multifamily Housing,90024,Not Available,1.0,Not Available,23476.0
1992.0,6127.5,Office,90017,Not Available,1.0,Not Available,492320.0
2000.0,2705.7,Multifamily Housing,90731,Not Available,1.0,Not Available,64873.0
,,,90003,,,,
1973.0,Not Available,Multifamily Housing,90034,Not Available,1.0,Not Available,33237.0
1986.0,870,Multifamily Housing,90034,Not Available,1.0,Not Available,21060.0
2001.0,76.3,Non-Refrigerated Warehouse,90033,Not Available,1.0,Not Available,23184.0
2010.0,2503.7,Multifamily Housing,90024,Not Available,1.0,Not Available,86308.0
1974.0,5082.5,Multifamily Housing,90068,Not Available,1.0,0.0,100682.0
2010.0,3194.9,Other - Mall,90034,Not Available,1.0,Not Available,157338.0
1964.0,1271.7,Multifamily Housing,90068,Not Available,1.0,Not Available,24402.0
1942.0,Not Available,Office,90094,Not Available,1.0,Not Available,70649.0
2012.0,1352.5,Other - Technology/Science,91406,Not Available,1.0,Not Available,1500.0
,,,90033,,,,
1988.0,4061.9,Multifamily Housing,91303,Not Available,1.0,Not Available,69410.0
1987.0,3764.9,Multifamily Housing,91343,Not Available,1.0,Not Available,30395.0
1985.0,736.1,Multifamily Housing,90034,Not Available,1.0,Not Available,24187.0
,,,90024,,,,
1942.0,Not Available,Office,90094,Not Available,1.0,Not Available,85832.0
2003.0,156.6,Multifamily Housing,91325,Not Available,1.0,Not Available,27420.0
1989.0,1557.4,Multifamily Housing,91352,Not Available,1.0,Not Available,24083.0
1971.0,3502.4,Multifamily Housing,90066,Not Available,1.0,Not Available,69230.0
,,,91423,,,,
,,,90291,,,,
,,,90024,,,,
1963.0,1990.6,Multifamily Housing,91423,Not Available,1.0,1990.6,72490.0
,,,90001,,,,
1962.0,Not Available,Multifamily Housing,91304,Not Available,1.0,Not Available,30277.0
1928.0,557.3,Multifamily Housing,90036,Not Available,1.0,Not Available,20246.0
,,,91604,,,,
1963.0,2202.3,Multifamily Housing,90020,Not Available,1.0,Not Available,40028.0
1980.0,4879.5,Strip Mall,91601,Not Available,1.0,Not Available,60930.0
2003.0,13788.1,Multifamily Housing,91367,Not Available,1.0,Not Available,401567.0
1991.0,106.2,Office,91356,Not Available,1.0,Not Available,27500.0
1928.0,1037.5,Multifamily Housing,90029,Not Available,1.0,Not Available,24520.0
1986.0,114.2,Self-Storage Facility,91605,Not Available,1.0,Not Available,42810.0
1968.0,112.2,Manufacturing/Industrial Plant,91331,Not Available,1.0,Not Available,21800.0
1988.0,1487.9,Multifamily Housing,90027,Not Available,1.0,Not Available,20240.0
1990.0,596.2,Office,91423,Not Available,1.0,Not Available,40000.0
2013.0,3444.8,Multifamily Housing,91406,Not Available,1.0,Not Available,68345.0
1988.0,2511.2,Multifamily Housing,91040,Not Available,1.0,Not Available,38579.0
1964.0,2536.6,Multifamily Housing,90034,Not Available,1.0,Not Available,58146.0
2003.0,8629.5,Multifamily Housing,91367,Not Available,1.0,Not Available,190135.0
,,,90031,,,,
1961.0,2182.1,Multifamily Housing,90049,Not Available,1.0,Not Available,64578.0
1961.0,4396.3,Multifamily Housing,90028,Not Available,1.0,Not Available,130783.0
1956.0,2799.2,Multifamily Housing,90272,Not Available,1.0,Not Available,66808.0
1966.0,898,Senior Living Community,90027,Not Available,1.0,898,45936.0
1993.0,1670.4,Multifamily Housing,90043,Not Available,1.0,Not Available,22032.0
,,,90005,,,,
1990.0,658.3,Multifamily Housing,90291,Not Available,1.0,Not Available,27700.0
,,,90034,,,,
,,,90501,,,,
,,,91402,,,,
,,,90026,,,,
1963.0,1990.6,Multifamily Housing,91306,Not Available,1.0,Not Available,28291.0
1964.0,783.2,Multifamily Housing,90027,Not Available,1.0,Not Available,28806.0
1983.0,1357.7,Multifamily Housing,90034,Not Available,1.0,Not Available,34872.0
1988.0,4087.1,Multifamily Housing,90042,666.3,1.0,Not Available,82960.0
,,,91367,,,,
,,,91324,,,,
,,,90027,,,,
1991.0,4624.5,Multifamily Housing,90057,Not Available,1.0,Not Available,42600.0
,,,90027,,,,
1999.0,2122.3,Office,91367,Not Available,1.0,2122.3,322943.0
1987.0,170.6,Distribution Center,91331,Not Available,1.0,Not Available,21359.0
,,,90032,,,,
2006.0,18782.1,Multifamily Housing,90017,Not Available,1.0,Not Available,283810.0
1982.0,454.7,Non-Refrigerated Warehouse,90039,Not Available,1.0,454.7,160563.0
,,,90026,,,,
1905.0,1595.6,Hotel,90291,Not Available,1.0,Not Available,25664.0
1990.0,1565.7,Multifamily Housing,91356,Not Available,1.0,Not Available,22747.0
1987.0,2058.6,Multifamily Housing,90744,Not Available,1.0,Not Available,24897.0
1936.0,485.5,Worship Facility,90024,Not Available,1.0,Not Available,20032.0
1958.0,1055.5,Multifamily Housing,91607,Not Available,1.0,Not Available,23572.0
2012.0,186.0,Distribution Center,91331,Not Available,1.0,Not Available,281288.0
1969.0,2380.3,Multifamily Housing,91325,Not Available,2.0,Not Available,55062.0
1964.0,1291.8,Multifamily Housing,90005,Not Available,1.0,Not Available,26460.0
1964.0,291.7,Manufacturing/Industrial Plant,91311,Not Available,1.0,Not Available,24000.0
1926.0,55.7,Distribution Center,90013,Not Available,1.0,Not Available,58550.0
,,,90502,,,,
1987.0,380.8,Office,90038,Not Available,1.0,Not Available,52929.0
,,,91604,,,,
1967.0,8.2,Non-Refrigerated Warehouse,91605,Not Available,1.0,Not Available,27000.0
,,,91367,,,,
1986.0,726.4,Multifamily Housing,91601,Not Available,1.0,Not Available,20052.0
